original_price,discount_original_price,discount_final_price,release_date,reviews,item_id,genre
US$0.99 ,0,0,  Jul 25  2016,  [Overwhelmingly Positive- Overwhelmingly Positive],495890,  [Memes- Casual- Indie- Cute- Anime- Pixel Graphics- Great Soundtrack- Platformer- Runner- Walking Simulator- Story Rich- 2D- Funny- Singleplayer- Comedy- Action- Atmospheric]
,US$9.99 ,US$0.99 ,  May 8  2015,  [Mixed- Mixed],360380,  [Indie- Casual- Simulation- Puzzle- Strategy- Adventure- Building- Physics- Shoot 'Em Up- 2D- Singleplayer- Touch-Friendly- Family Friendly- Comedy]
Free To Play,0,0,  Sep 16  2014,  [Very Positive],290730,  [Strategy- Free to Play- RTS- Massively Multiplayer- Multiplayer- Indie- Adventure- MMORPG- Casual- Singleplayer]
US$5.99 ,0,0,  Mar 25  2005,  [Very Positive],233350,  [RPG- Action- Adventure- Action RPG- Fantasy- JRPG- Anime- Singleplayer- Third Person- Female Protagonist- Classic- FPS]
US$1.99 ,0,0,  Jul 14  2016,  [],495540,  [Action- Indie- VR]
Free To Play,0,0,  Jun 28  2016,  [Mostly Negative],444620,  [Early Access- Free to Play- Action- Arena Shooter- Multiplayer- Competitive]
US$2.49 ,0,US$218.52 ,  Sep 19  2012,  [Positive],204310,  [Action- Indie- Strategy]
US$6.99 ,0,0,  May 13  2016,  [Mixed],446240,  [RPG- Indie- Casual- Simulation]
US$9.99 ,0,0,  Mar 18  2013,  [Mostly Negative],234370,  [Action- Adventure- Indie- Puzzle- Zombies- 2D]
US$14.99 ,0,0,  Apr 13  2016,  [Very Positive- Very Positive],406290,  [Board Game- Strategy- Simulation- Cold War]
US$1.98 ,0,0,  Nov 25  2015,  [Very Positive],415850,  [Indie- Visual Novel- Horror- Anime- Singleplayer]
US$4.99 ,0,0,  Jun 30  2015,  [Mostly Positive],382180,  [Indie- Action- Horror]
US$14.99 ,0,US$35.22 ,  Oct 1  2015,  [Positive],402602,  [Indie- Documentary- Game Development- Episodic- Gaming]
US$19.99 ,0,0,  Jul 16  2015,  [Very Positive- Mostly Positive],241990,  [Strategy- Turn-Based- Fantasy- 4X- Turn-Based Strategy- RPG- Tactical- Singleplayer- Indie- Exploration- Replay Value- Moddable- Grand Strategy- Turn-Based Tactics- Crafting- Loot- Grid-Based Movement- Dragons- Sandbox- Magic]
US$14.99 ,0,US$35.22 ,  Oct 1  2015,  [Positive],402600,  [Indie- Documentary- Game Development- Episodic- Gaming]
US$9.99 ,0,US$575.84 ,  Oct 6  2009,  [Mostly Negative- Mixed],12830,  [Action- FPS- Tactical- Multiplayer- Open World- Military- Simulation- First-Person- Co-op- Singleplayer- Shooter- Realistic- Strategy- Walking Simulator- Adventure]
US$2.99 ,0,0,  Aug 7  2015,  [Very Positive- Very Positive],360650,  [Casual- Strategy- Singleplayer- Female Protagonist]
US$14.99 ,0,US$35.22 ,  Oct 1  2015,  [Positive],402607,  [Indie- Documentary- Game Development- Episodic- Gaming]
US$9.99 ,0,0,  May 25  2016,  [Mostly Negative],365440,  [Design & Illustration- Animation & Modeling- Education- Game Development]
US$14.99 ,0,US$35.22 ,  Oct 1  2015,  [Positive],402605,  [Indie- Documentary- Game Development- Episodic- Gaming]
Install Now,0,0,  Sep 19  2014,  [Mixed- Mostly Positive],268850,  [Utilities- Software]
US$14.99 ,0,US$35.22 ,  Oct 1  2015,  [Positive],402608,  [Indie- Documentary- Game Development- Episodic- Gaming]
