appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
356400,Thumper,Drool,Drool,82,1418,111,92,76575,8604,51556,7060,3033,1712,238,37,141,54,1999
200230,Off-Road Drive,1C-Avalon,1C Company,20,261,153,64,78091,8689,34623,5786,0,0,183,0,74,0,499
734550,Wheel Riders Online OBT,Raum Studio,Raum Studio,1,59,165,26,68993,8167,22240,4637,2289,2588,19,13,7,20,0
461010,Roll'd,MGP Studios,Forever Entertainment S. A.,47,167,41,82,72532,8374,35129,5828,750,1038,174,2,188,2,99
253470,Real World Racing,Playstos Entertainment,Inky Mind UK,,199,138,0,75059,8518,29821,5369,0,0,138,0,75,0,899
358270,Death Rally (Classic),Remedy,3D Realms (Apogee Software),62,93,14,94,79355,8759,7329,2662,0,0,118,0,55,0,499
372490,GROOVY,SGS Team,SGS Team,,72,41,0,76575,8604,50545,6990,1549,2144,217,71,210,123,399
358380,Wacky Wheels,Beavis Soft,3D Realms (Apogee Software),51,71,15,95,80366,8814,9603,3047,0,0,36,0,23,0,499
311400,OCEAN CITY RACING: Redux,"OCR Dev Team, Onur Uça",,3,243,417,34,82135,8911,18954,4281,763,1494,55,7,15,7,299
293760,Automation - The Car Company Tycoon Game,Camshaft Software,Camshaft Software,51,914,191,79,63686,7847,42963,6445,4044,1977,1439,399,452,530,2999
566990,Russian Car Driver,Falcoware,Atriagames,57,845,150,84,78091,8689,51556,7060,2306,1842,334,143,393,208,99
320540,Coffin Dodgers,Milky Tea Studios,Milky Tea Studios,29,345,141,75,64950,7924,35887,5890,769,1063,186,228,152,228,1099
362930,Garfield Kart,Artefacts Studios,Microids,51,1790,367,85,61664,7721,24009,4818,1537,1504,223,9,16,13,499
539640,Racecar.io,"Kastriot Sulejmani, Brayden Myers",KasSanity,12,141,114,55,71015,8286,41447,6330,774,1516,31,2,6,2,0
410340,Liftoff,LuGus Studios,LuGus Studios,57,585,105,84,70257,8241,50039,6955,6065,2421,1904,325,451,89,1999
343440,Crash Drive 2,M2H,M2H,59,543,92,84,64697,7909,41699,6349,0,0,254,0,276,0,499
365960,rFactor 2,Studio 397,Studio 397,49,734,165,77,63686,7847,43216,6464,7834,2752,4782,648,637,295,3199
207020,Bang Bang Racing,Digital Reality Software & Playbox,THQ Nordic,45,293,76,83,65708,7970,22745,4689,0,0,76,0,23,0,999
542780,Drift GEAR Racing Free,Rock Crow,Rock Crow,1,33,93,26,67224,8062,34623,5786,0,0,11,0,4,0,0
345660,RIDE,Milestone S.r.l.,Milestone S.r.l.,35,946,326,74,56357,7381,37908,6054,1516,1210,839,27,401,39,3999
35320,Insane 2,Targem Games,Game Factory Interactive,54,297,60,73,60906,7674,22745,4689,0,0,210,0,99,0,1499
533120,VCB: Why City,KishMish Games,KishMish Games,45,1002,257,78,70510,8256,42457,6407,2527,1563,190,187,211,224,50
